Test_Number,Rank,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Book,Chapter,Verse_Order,Verse,Verse #,Last 10 Avg,Last 100 Avg,Last 1000 Avg,cumulative_avg,Local_Year,Local_Month,Local_Hour,Count,Local_Date
383,31,1699067600.103926,2023-11-03T23:13:20.103925,2023-11-04T03:13:20.103925+00:00,133,9.719624757766724,13.68365583184915,164.2038699821898,GEN,10,236,"Now this is the history of the generations of the sons of Noah and of Shem, Ham, and Japheth. Sons were born to them after the flood.",1.0,142.35325998849143,140.3389750861879,,136.972,2023,11,23,1,2023-11-03
368,32,1699066551.5364285,2023-11-03T22:55:51.536428,2023-11-04T02:55:51.536428+00:00,161,11.776451110839844,13.671351282714085,164.05621539256902,GEN,9,221,"I will remember my covenant, which is between me and you and every living creature of all flesh, and the waters will no more become a flood to destroy all flesh.",15.0,150.4383361918613,138.92314119406674,,136.76,2023,11,22,1,2023-11-03
131,33,1698620996.0,2023-10-29T19:09:56.083883,2023-10-29T23:09:56.083883+00:00,72,5.270283222,13.66150489,163.9380587,1JN,4,34892,"Beloved, if God loved us in this way, we also ought to love one another.",11.0,145.33259979,139.8534824411,,137.211,2023,10,19,1,2023-10-29
255,34,1698623583.0,2023-10-29T19:53:02.549000,2023-10-29T23:53:02.549000+00:00,125,9.167699337,13.63482761,163.6179313,GEN,5,109,"Adam lived one hundred thirty years, and became the father of a son in his own likeness, after his image, and named him Seth.",3.0,125.22502254599999,133.22958263499999,,136.057,2023,10,19,1,2023-10-29
344,35,1699066178.1772866,2023-11-03T22:49:38.177286,2023-11-04T02:49:38.177286+00:00,217,15.961097240447998,13.595556541694824,163.14667850033788,GEN,8,197,"In the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth. Noah removed the covering of the ship, and looked. He saw that the surface of the ground was dry.",13.0,151.18457264618257,134.88635399629698,,136.159,2023,11,22,1,2023-11-03
503,36,1699226037.0377212,2023-11-05T18:13:57.037721,2023-11-05T23:13:57.037721+00:00,126,9.288519144058228,13.56513326245346,162.78159914944152,GEN,14,353,"He brought back all the goods, and also brought back his relative Lot and his goods, and the women also, and the other people.",16.0,135.51431294455261,130.9074391480449,,134.857,2023,11,18,1,2023-11-05
727,37,1699493614.0840323,2023-11-08T20:33:34.084032,2023-11-09T01:33:34.084032+00:00,53,3.907684564590454,13.563019001139535,162.75622801367442,GEN,23,577,"The children of Heth answered Abraham, saying to him,",5.0,130.32218995130387,130.42921133488267,,132.6,2023,11,20,1,2023-11-08
553,38,1699227300.0095465,2023-11-05T18:35:00.009546,2023-11-05T23:35:00.009546+00:00,128,9.437832355499268,13.562436286062711,162.74923543275256,GEN,17,403,"Your name will no more be called Abram, but your name will be Abraham; for I have made you the father of a multitude of nations.",5.0,128.69335325045424,124.67658800034087,,133.428,2023,11,18,1,2023-11-05
339,39,1698899079.679165,2023-11-02T00:24:39.679164,2023-11-02T04:24:39.679164+00:00,91,6.718367576599121,13.54495700964084,162.53948411569007,GEN,8,192,"He himself sent out a dove to see if the waters were abated from the surface of the ground,",8.0,140.1589091445508,133.86578274446552,,135.885,2023,11,0,1,2023-11-02
324,40,1698792621.6693788,2023-10-31T18:50:21.669200,2023-10-31T22:50:21.669378+00:00,122,9.008543729782104,13.542699426175831,162.51239311411,GEN,7,177,"The flood was forty days on the earth. The waters increased, and lifted up the ship, and it was lifted up above the earth.",17.0,139.73753679698012,132.5786755665107,,135.53,2023,10,18,1,2023-10-31
48,41,1698553935.0,2023-10-29T00:32:14.536384,2023-10-29T04:32:14.536384+00:00,135,9.974243402,13.5348612,162.4183344,3JN,1,34942,"They have testified about your love before the assembly. You will do well to send them forward on their journey in a way worthy of God,",6.0,141.8617127,,,134.614,2023,10,0,1,2023-10-29
356,42,1699066349.5409532,2023-11-03T22:52:29.540953,2023-11-04T02:52:29.540953+00:00,113,8.349054336547852,13.53446695218455,162.4136034262146,GEN,9,209,"Every moving thing that lives will be food for you. As I gave you the green herb, I have given everything to you.",3.0,138.94680473251577,136.78389946172445,,136.291,2023,11,22,1,2023-11-03
633,43,1699229118.8446765,2023-11-05T19:05:18.844676,2023-11-06T00:05:18.844676+00:00,111,8.215764045715332,13.510611962850671,162.12734355420804,GEN,19,483,"He overthrew those cities, all the plain, all the inhabitants of the cities, and that which grew on the ground.",25.0,134.296228999658,128.80711130930575,,133.056,2023,11,19,1,2023-11-05
64,44,1698554567.0,2023-10-29T00:42:47.297231,2023-10-29T04:42:47.297231+00:00,152,11.25261307,13.50797358,162.0956829,1JN,1,34825,"But if we walk in the light as he is in the light, we have fellowship with one another, and the blood of Jesus Christ his Son, cleanses us from all sin.",7.0,144.39441879,,,137.097,2023,10,0,1,2023-10-29
723,45,1699493527.7740965,2023-11-08T20:32:07.774096,2023-11-09T01:32:07.774096+00:00,80,5.923959016799927,13.504482352616836,162.05378823140205,GEN,23,573,Sarah lived one hundred twenty-seven years. This was the length of Sarah's life.,1.0,132.75632349200467,129.91337433624406,,132.604,2023,11,20,1,2023-11-08
679,46,1699311540.8123288,2023-11-06T17:59:00.812328,2023-11-06T22:59:00.812328+00:00,84,6.2308549880981445,13.48129593136936,161.77555117643232,GEN,21,529,"The water in the container was spent, and she put the child under one of the shrubs.",15.0,126.36341031259323,129.5418326423676,,132.704,2023,11,17,1,2023-11-06
321,47,1698792586.733806,2023-10-31T18:49:46.733806,2023-10-31T22:49:46.733806+00:00,193,14.322424173355104,13.475372441423003,161.70446929707606,GEN,7,174,"they, and every animal after its kind, all the livestock after their kind, every creeping thing that creeps on the earth after its kind, and every bird after its kind, every bird of every sort.",14.0,137.71403970460057,132.13069374930927,,135.443,2023,10,18,1,2023-10-31
174,48,1698621943.0,2023-10-29T19:25:43.081295,2023-10-29T23:25:43.081295+00:00,211,15.66035914,13.47350965,161.6821158,GEN,1,28,"God blessed them. God said to them, ""Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.""",28.0,137.44403402999998,137.5323859071,,137.521,2023,10,19,1,2023-10-29
485,49,1699225722.7735548,2023-11-05T18:08:42.773554,2023-11-05T23:08:42.773554+00:00,143,10.617254257202148,13.468642318987213,161.62370782784654,GEN,13,335,"I will make your offspring as the dust of the earth, so that if a man can count the dust of the earth, then your offspring may also be counted.",16.0,129.5059232518585,128.89694268204374,,135.2,2023,11,18,1,2023-11-05
375,50,1699066631.140166,2023-11-03T22:57:11.140166,2023-11-04T02:57:11.140166+00:00,94,6.981139659881592,13.46485023644325,161.578202837319,GEN,9,228,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",22.0,155.18919856043857,140.005204334664,,136.999,2023,11,22,1,2023-11-03
77,51,1698555246.0,2023-10-29T00:54:05.619287,2023-10-29T04:54:05.619287+00:00,93,6.907655954,13.46332252,161.5598703,1JN,2,34838,"He who loves his brother remains in the light, and there is no occasion for stumbling in him.",10.0,141.04020337000003,,,137.897,2023,10,0,1,2023-10-29
234,52,1698623191.0,2023-10-29T19:46:30.932474,2023-10-29T23:46:30.932474+00:00,144,10.70708752,13.44903549,161.3884259,GEN,4,88,"Cain said to Abel, his brother, ""Let's go into the field."" While they were in the field, Cain rose up against Abel, his brother, and killed him.",8.0,135.89185965,136.28770275349999,,136.807,2023,10,19,1,2023-10-29
