word,typed_word_without_mistakes,word_duration (ms),Count,characters,CPS,WPM
Sabbath,1,615.5831813812256,1,7,11.371330815591204,136.45596978709443
day,1,297.0428466796875,1,3,10.099553089844353,121.19463707813223
shall,1,390.4688358306885,1,5,12.805119234068796,153.66143080882554
surely,1,528.1407833099365,1,6,11.36060722748414,136.32728672980969
be,1,151.2293815612793,1,2,13.22494332352728,158.69931988232736
put,1,216.0625457763672,1,3,13.884868333936563,166.61842000723874
to,1,169.45958137512207,1,2,11.802224363889612,141.62669236667534
death,1,270.8268165588379,1,5,18.461982692595495,221.54379231114592
Therefore,1,791.7342185974121,1,9,11.367451082187467,136.4094129862496
the,1,176.23019218444824,1,3,17.02318974299309,204.27827691591708
children,1,696.2392330169678,1,8,11.490303362156316,137.8836403458758
of,1,239.7911548614502,1,2,8.340591216367374,100.08709459640849
Israel,1,462.7344608306885,1,6,12.966399755983078,155.59679707179694
shall,0,777.3349285125732,1,5,6.432233798585993,77.18680558303191
keep,1,473.45614433288574,1,4,8.448512175580957,101.38214610697148
the,1,159.9903106689453,1,3,18.751135537249198,225.01362644699037
Sabbath,1,575.4804611206055,1,7,12.163749202482455,145.96499042978945
to,1,174.32546615600586,1,2,11.472793069775458,137.6735168373055
observe,1,544.5592403411865,1,7,12.854432505110447,154.25319006132537
the,1,166.703462600708,1,3,17.996026916283494,215.95232299540191
Sabbath,1,608.5541248321533,1,7,11.502674477690354,138.03209373228424
throughout,1,1064.6190643310547,1,10,9.393031117927071,112.71637341512485
their,1,248.2466697692871,1,5,20.141257099830774,241.6950851979693
generations,1,672.0736026763916,1,11,16.36725494974779,196.40705939697347
for,1,217.0083522796631,1,3,13.824352696498238,165.89223235797886
a,1,49.1940975189209,1,1,20.327641941502897,243.93170329803476
perpetual,1,774.8608589172363,1,9,11.614988544622435,139.37986253546921
covenant,1,593.1470394134521,1,8,13.487380815237643,161.8485697828517
It,1,366.8828010559082,1,2,5.451332126346325,65.4159855161559
is,1,177.96587944030762,1,2,11.238109272911663,134.85731127493995
a,1,71.90203666687012,1,1,13.907811883453423,166.8937426014411
sign,1,311.7179870605469,1,4,12.832111607416019,153.98533928899224
between,1,724.5175838470459,1,7,9.661601258635265,115.93921510362318
me,1,176.72443389892578,1,2,11.317054217550146,135.80465061060175
and,1,151.31711959838867,1,3,19.825912679030047,237.91095214836056
the,1,144.01960372924805,1,3,20.83049753171032,249.96597038052386
children,1,570.2118873596191,1,8,14.029872363840408,168.35846836608488
of,1,146.29721641540527,1,2,13.670800094521809,164.0496011342617
Israel,1,584.1360092163086,1,6,10.271580428759647,123.25896514511575
forever,1,568.2287216186523,1,7,12.318983067346277,147.8277968081553
for,1,233.84499549865723,1,3,12.829010916409484,153.9481309969138
in,1,151.47757530212402,1,2,13.203274451752833,158.439293421034
six,1,321.7611312866211,1,3,9.323686761057646,111.88424113269176
days,1,263.81945610046387,1,4,15.161884036622297,181.94260843946756
the,1,136.000394821167,1,3,22.05875949069732,264.7051138883678
LORD,1,296.99087142944336,1,4,13.46842743262662,161.62112919151943
made,1,383.6085796356201,1,4,10.42729545778016,125.12754549336191
heaven,1,407.5930118560791,1,6,14.720566411768113,176.64679694121736
and,1,136.6727352142334,1,3,21.95024483337898,263.4029380005478
earth,1,360.126256942749,1,5,13.884019572599156,166.60823487118986
and,1,175.14967918395996,1,3,17.12820722240145,205.5384866688174
on,1,146.14319801330566,1,2,13.68520757167165,164.2224908600598
the,1,159.41429138183594,1,3,18.818889912537838,225.82667895045404
seventh,0,1231.9183349609375,1,7,5.682194834953862,68.18633801944634
day,1,264.1491889953613,1,3,11.357218287930017,136.2866194551602
he,1,189.60976600646973,1,2,10.547979896413972,126.57575875696767
rested,1,400.130033493042,1,6,14.995125328687271,179.94150394424724
and,1,152.93550491333008,1,3,19.616112044748057,235.39334453697668
was,1,250.0016689300537,1,3,11.999919891892201,143.9990387027064
refreshed,1,639.9340629577637,1,9,14.063948961244792,168.7673875349375
When,1,552.0546436309814,1,4,7.245659548647476,86.94791458376972
he,1,168.4896945953369,1,2,11.870162177000893,142.4419461240107
finished,1,520.2124118804932,1,8,15.378333575473812,184.54000290568575
speaking,1,513.3259296417236,1,8,15.584640358190377,187.01568429828453
with,1,287.5807285308838,1,4,13.909137863424089,166.90965436108905
him,1,264.2495632171631,1,3,11.35290429045882,136.23485148550583
on,1,112.81275749206544,1,2,17.72849139106158,212.74189669273898
Mount,1,337.2032642364502,1,5,14.827851715260833,177.93422058312999
Sinai,1,464.37525749206543,1,5,10.767154191210183,129.2058502945222
he,1,176.36585235595703,1,2,11.34006369874495,136.0807643849394
gave,1,270.5569267272949,1,4,14.784319323791546,177.41183188549854
Moses,1,407.914400100708,1,5,12.257473623793556,147.08968348552267
the,1,176.5885353088379,1,3,16.98864535431625,203.86374425179503
two,1,319.9765682220459,1,3,9.375686528140296,112.50823833768355
tablets,1,542.6621437072754,1,7,12.899370411539087,154.79244493846903
of,1,200.34050941467285,1,2,9.983003466664446,119.79604159997335
the,1,144.55056190490723,1,3,20.753983661257255,249.04780393508707
covenant,0,2263.3721828460693,1,8,3.5345490505854094,42.41458860702491
stone,1,583.3046436309814,1,5,8.571850155136381,102.86220186163658
tablets,1,536.7209911346436,1,7,13.042158059072367,156.50589670886842
written,1,664.2050743103027,1,7,10.538913764350054,126.46696517220064
with,1,310.65964698791504,1,4,12.875827416863073,154.50992900235687
God,1,281.1150550842285,1,3,10.67178703431992,128.06144441183903
s,1,32.7756404876709,1,1,30.510464025139846,366.1255683016782
finger,1,391.7505741119385,1,6,15.31586779062528,183.79041348750337
When,1,543.6193943023682,1,4,7.358089210803889,88.29707052964666
the,1,136.99054718017578,1,3,21.899321243342964,262.79185492011555
people,1,385.5648040771485,1,6,15.56158637031467,186.73903644377603
saw,0,1135.7688903808594,1,3,2.641382437402388,31.69658924882866
that,1,296.9703674316406,1,4,13.469357345630645,161.63228814756775
Moses,1,409.6956253051758,1,5,12.20418205899948,146.45018470799377
delayed,1,407.8922271728516,1,7,17.161395912145256,205.93675094574309
coming,1,423.295259475708,1,6,14.17450317641539,170.09403811698468
down,1,312.5417232513428,1,4,12.79829124376857,153.57949492522283
from,1,329.0553092956543,1,4,12.156011123364136,145.87213348036963
the,1,183.74323844909668,1,3,16.327131410776268,195.9255769293152
mountain,1,528.982400894165,1,8,15.123376479968343,181.4805177596201
the,1,169.98553276062012,1,3,17.6485607408997,211.78272889079642
people,1,409.576416015625,1,6,14.649280977572461,175.79137173086954
gathered,1,597.759485244751,1,8,13.38330916944701,160.59971003336412
themselves,1,713.4363651275635,1,10,14.016667062117005,168.20000474540404
together,1,510.9877586364746,1,8,15.655952348735884,187.87142818483062
to,1,161.6828441619873,1,2,12.369896202445782,148.4387544293494
Aaron,0,1504.1272640228271,1,5,3.3241868022705545,39.89024162724665
and,1,143.88656616210938,1,3,20.84975741668655,250.1970890002386
said,1,231.5809726715088,1,4,17.272576213218905,207.27091455862686
to,1,144.02151107788086,1,2,13.886814442034863,166.64177330441836
him,1,256.9842338562012,1,3,11.673867906148237,140.08641487377884
Come,1,456.5274715423584,1,4,8.761794742573043,105.14153691087651
make,1,304.1512966156006,1,4,13.151349491221703,157.81619389466044
us,0,561.6190433502197,1,2,3.561132806447272,42.73359367736726
gods,1,309.6613883972168,1,4,12.91733535363801,155.00802424365614
which,1,327.92186737060547,1,5,15.247534542578036,182.97041451093642
shall,1,400.9518623352051,1,5,12.470324918505762,149.64389902206915
go,1,302.3674488067627,1,2,6.614468613908775,79.37362336690529
before,1,511.51466369628906,1,6,11.729869006380019,140.75842807656022
us,1,167.85478591918945,1,2,11.915060920353278,142.98073104423935
for,1,172.6815700531006,1,3,17.37301785637855,208.47621427654258
as,1,136.03806495666504,1,2,14.701767484248622,176.42120981098347
for,1,551.7668724060059,1,3,5.437078864336955,65.24494637204347
this,1,229.69841957092285,1,4,17.414138101045747,208.96965721254895
Moses,1,608.3738803863525,1,5,8.218630288375811,98.62356346050973
the,1,182.7094554901123,1,3,16.419511469467167,197.034137633606
man,1,241.0244941711425,1,3,12.446867735649358,149.3624128277923
who,1,223.9210605621338,1,3,13.397578559465414,160.77094271358496
brought,1,417.3767566680908,1,7,16.77141788124677,201.25701457496123
us,1,137.52198219299316,1,2,14.543129528145366,174.5175543377444
up,1,327.6910781860352,1,2,6.103309284681133,73.2397114161736
out,1,159.99937057495117,1,3,18.750073761038077,225.00088513245692
of,1,136.95359230041504,1,2,14.603486965226095,175.24184358271313
the,1,168.00904273986816,1,3,17.856181733294925,214.2741807995391
land,1,250.0135898590088,1,4,15.99913029630004,191.98956355560048
of,1,145.0295448303223,1,2,13.790293573215756,165.48352287858907
Egypt,1,488.13843727111816,1,5,10.242995876235286,122.91595051482344
we,0,947.22580909729,1,2,2.111428954734677,25.337147456816126
don,1,367.6173686981201,1,3,8.160659031492983,97.9279083779158
t,1,46.76651954650879,1,1,21.38281851411908,256.59382216942896
know,1,273.6837863922119,1,4,14.61540726518473,175.38488718221677
what,1,305.2065372467041,1,4,13.105879173114584,157.270550077375
